Institute,Program,Degree,Quota,Category,Gender,Opening_Rank,Closing_Rank
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,EWS Gender-Neutral,28874,28874,28874,28874
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,EWS Female-only,(including,Supernumerary),41409,41409
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,30040,30344,30040,30344
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Female-only,(including,Supernumerary),54281,54281
National Institute of Technology Patna Electronics and Communication Engineering,with Specialization,in Microelectronics and VLSI System,Design (5,"Years,",Bachelor,34019,34019
National Institute of Technology Patna Electronics and Communication Engineering,with Specialization,in Microelectronics and VLSI System,Design (5,"Years,",Bachelor,34650,34887
National Institute of Technology Patna Electronics and Communication Engineering,with Specialization,in Microelectronics and VLSI System,Design (5,"Years,",Bachelor,32094,32094
National Institute of Technology Patna Electronics and Communication Engineering,with Specialization,in Microelectronics and VLSI System,Design (5,"Years,",Bachelor,37461,37461
National Institute of Technology Patna Electronics and Communication Engineering,with Specialization,in Microelectronics and VLSI System,Design (5,"Years,",Bachelor,64941,64941
National Institute of Technology Patna Electronics Engineering (VLSI Design,and Technology),"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,30994,31117
National Institute of Technology Patna Electronics Engineering (VLSI Design,and Technology),"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,32670,32670
National Institute of Technology Patna Electronics Engineering (VLSI Design,and Technology),"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,28176,29106
National Institute of Technology Patna Electronics Engineering (VLSI Design,and Technology),"(4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),49219,49219
National Institute of Technology Patna Electronics Engineering (VLSI Design,and Technology),"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,29796,30603
National Institute of Technology Patna Electronics Engineering (VLSI Design,and Technology),"(4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),53433,53433
National Institute of Technology Patna Electronics Engineering (VLSI Design,and Technology),"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,33027,34389
National Institute of Technology Patna Electronics Engineering (VLSI Design,and Technology),"(4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,133886,133886
National Institute of Technology Patna Material Science and Engineering,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Home,State,73282,73282
National Institute of Technology Patna Material Science and Engineering,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Home,State,73373,73373
National Institute of Technology Patna Material Science and Engineering,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Other,State,87124,87124
National Institute of Technology Patna Material Science and Engineering,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Other,State,86926,86926
National Institute of Technology Patna Material Science and Engineering,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Other,State,72741,72741
National Institute of Technology Patna Mathematics and Computing Technology,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Home,State,28804,28804
National Institute of Technology Patna Mathematics and Computing Technology,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Home,State,33559,33559
National Institute of Technology Patna Mathematics and Computing Technology,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Other,State,25314,25314
National Institute of Technology Patna Mathematics and Computing Technology,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Other,State,28097,28097
National Institute of Technology Patna Mathematics and Computing Technology,"(5 Years,",Bachelor and Master of Technology,(Dual Degree)),Other,State,30930,30930
"National Institute of Technology Patna Mechanical Engineering (4 Years,",Bachelor of,Technology) Other State OPEN Female-only,(including Supernumerary),69833,69833,69833,69833
"National Institute of Technology Patna Mechanical Engineering (4 Years,",Bachelor of,Technology) Other State EWS Female-only,(including Supernumerary),94481,94481,94481,94481
"National Institute of Technology Patna Mechanical Engineering (4 Years,",Bachelor of,Technology) Other State OBC-NCL Female-only,(including Supernumerary),86509,86509,86509,86509
National Institute of Technology Patna Mechanical Engineering with Specialization,in Manufacturing,"and Industrial Engineering (5 Years,",Bachelor and,Master,of,52063,54983
National Institute of Technology Patna Mechanical Engineering with Specialization,in Manufacturing,"and Industrial Engineering (5 Years,",Bachelor and,Master,of,83812,83812
National Institute of Technology Patna Mechanical Engineering with Specialization,in Manufacturing,"and Industrial Engineering (5 Years,",Bachelor and,Master,of,55454,55454
National Institute of Technology Patna Mechanical Engineering with Specialization,in Manufacturing,"and Industrial Engineering (5 Years,",Bachelor and,Master,of,57499,58372
National Institute of Technology Patna Mechanical Engineering with Specialization,in Manufacturing,"and Industrial Engineering (5 Years,",Bachelor and,Master,of,139864,139864
National Institute of Technology Patna Mechatronics and Automation Engineering,"(4 Years,",Bachelor of Technology) Home State,OPEN Gender-Neutral,35951,35951,35951,35951
National Institute of Technology Patna Mechatronics and Automation Engineering,"(4 Years,",Bachelor of Technology) Home State,EWS Gender-Neutral,41578,41578,41578,41578
National Institute of Technology Patna Mechatronics and Automation Engineering,"(4 Years,",Bachelor of Technology) Home State,SC Female-only,(including,Supernumerary),328441,328441
National Institute of Technology Patna Mechatronics and Automation Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Female-only,(including,Supernumerary),56582,56582
National Institute of Technology Patna Mechatronics and Automation Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,42623,42623,42623,42623
"National Institute of Technology Puducherry Civil Engineering (4 Years,",Bachelor of,Technology) Home State OPEN Female-only,(including Supernumerary),219544,229006,219544,229006
National Institute of Technology Puducherry Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Home State,OPEN Gender-Neutral,67389,68783,67389,68783
National Institute of Technology Puducherry Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Home State,OBC-NCL Gender-Neutral,99053,120407,99053,120407
National Institute of Technology Puducherry Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,22336,22336,22336,22336
National Institute of Technology Puducherry Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) All India,EWS Gender-Neutral,49378,49378,49378,49378
National Institute of Technology Puducherry Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Home State,OPEN Gender-Neutral,155400,159882,155400,159882
National Institute of Technology Puducherry Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Home State,OBC-NCL Gender-Neutral,199621,204611,199621,204611
National Institute of Technology Puducherry Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,EWS Gender-Neutral,50346,50346,50346,50346
National Institute of Technology Puducherry Electrical and Electronics Engineering,"(4 Years,",Bachelor of Technology) Other State,SC Gender-Neutral,149669,149669,149669,149669
National Institute of Technology Puducherry Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) All India,EWS Gender-Neutral,35075,35075,35075,35075
National Institute of Technology Puducherry Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Home State,OPEN Gender-Neutral,90215,90215,90215,90215
National Institute of Technology Puducherry Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Home State,OBC-NCL Gender-Neutral,130312,150270,130312,150270
National Institute of Technology Puducherry Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,34571,34663,34571,34663
National Institute of Technology Puducherry Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,EWS Gender-Neutral,36940,36940,36940,36940
National Institute of Technology Puducherry Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,39856,39856,39856,39856
"National Institute of Technology Puducherry Mechanical Engineering (4 Years,",Bachelor of,Technology) Home State OBC-NCL Female-only,(including Supernumerary),244668,244668,244668,244668
